PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Mike Weir,6100,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Wei-Hsuan Wang,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Wes Heffernan,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Richard T. Lee,6800,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Tyler Mawhinney,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Thorbjorn Olesen,8700,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Vince Covello,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Hunter Thomson,6400,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Ludvig Aberg,10500,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Mark Hoffman,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Matthew Javier,6100,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
