PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
David Frost,6000,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Corey Pavin,6000,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Robert Macintyre,9300,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Michael Block,6000,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Nicolas Echavarria,7000,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Pierceson Coody,7200,0.06944190205554947,66.0,47.5,125.0,45.5,174.0,119,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Rickie Fowler,7300,0.06832363615017914,42.1,49.0,100.0,85.7,128.0,456,123,78,116,143,117,116,61,127,81,29,71,63,127,72
Sam Ryder,6800,0.06570249823246523,49.3,90.0,200.0,72.2,153.0,392,112,144,62,128,2,52,10,35,123,128,117,89,80,23
Hayden Springer,6400,0.0653309175558203,52.2,90.0,300.0,61.5,151.0,312,110,73,112,134,73,30,15,145,25,37,30,118,100,148
Jackson Suber,6100,0.0629341038296409,69.6,60.6,800.0,40.0,237.0,112,102,165,8,150,164,124,130,174,89,157,72,159,102,164
Quade Cummins,6400,0.06252237600873864,64.6,60.6,300.0,44.4,245.0,84,114,67,106,146,24,113,40,66,40,148,93,130,67,34
Chad Ramey,6600,0.06132304050212163,62.2,43.0,250.0,52.6,226.0,240,149,141,91,157,64,160,15,127,123,168,159,86,64,50
Neal Shipley,6900,0.06114686154815446,47.8,60.6,200.0,75.0,135.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Blades Brown,6500,0.05975808124143132,71.3,60.6,250.0,33.3,555.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Lanto Griffin,6200,0.05303614660422249,58.3,90.0,500.0,62.5,287.0,233,115,58,75,168,137,133,40,127,165,125,125,80,133,119
Ryan Palmer,6000,0.04887337512196221,84.3,62.6,1000.0,16.7,587.0,20,180,128,180,137,178,166,180,166,25,175,140,146,175,167
Rafael Campos,6100,0.048210747570861925,72.9,90.0,1000.0,36.4,204.0,599,175,167,163,141,101,156,161,174,156,162,86,150,177,165
Will Gordon,6100,0.04758778508801313,65.7,71.0,600.0,47.1,254.0,239,83,53,78,133,155,156,111,145,30,91,20,158,10,109
Webb Simpson,6300,0.044615371089571365,68.4,64.3,300.0,37.5,398.0,80,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Joseph Bramlett,6800,0.042004501185144386,56.7,72.3,200.0,70.0,210.0,113,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Robby Shelton,6300,0.03860652231950922,64.9,46.8,500.0,42.9,285.0,95,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Dylan Wu,6200,0.036811734679568664,76.0,90.0,500.0,30.0,258.0,63,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Zac Blair,6100,0.03537962244749271,64.8,78.3,600.0,54.5,251.0,94,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Nick Hardy,6300,0.03197277826863182,75.6,56.5,500.0,23.5,392.0,137,133,89,140,123,161,165,61,166,140,44,39,113,32,173
